Type,Litology,Tporosity,Eporosity,K,S,Sy,Compressibility,Note,Location,Source
Igneous,Andesite,0.5,NA,NA,NA,NA,NA,NS,Doenstedt_ Germany.,77
Igneous,Andesite,NA,NA,3.6,0.000923,NA,NA,Fractured,Taipei basin_ Taiwan,78
Igneous,Andesite,NA,NA,8.38,0.00125,NA,NA,Fractured,Taipei basin_ Taiwan,78
Igneous,Andesite,NA,NA,6.35,0.000529,NA,NA,Fractured,Taipei basin_ Taiwan,78
Igneous,Andesite,NA,NA,1.91151,0.00266,NA,NA,Fractured,Taipei basin_ Taiwan,78
Igneous,Andesite,NA,NA,3.29,0.000778,NA,NA,Fractured,Taipei basin_ Taiwan,78
Igneous,Andesite,NA,NA,NA,0.000301,NA,NA,NS,Taipei basin_ Taiwan,78
Igneous,Andesite,NA,NA,0.000864,NA,NA,NA,Dense,Zacapu basin_  Michoacán,111
Igneous,Andesite,NA,NA,8.64,NA,NA,NA,Fractured,Zacapu basin_  Michoacán,111
Igneous,Andesite,NA,0.27,NA,NA,NA,NA,Fractured,LaLumbredebris-flowtrackatVolcándeColima_ México,113
Igneous,Andesite,0.03,0.26,NA,NA,NA,NA,Fractured,LaLumbredebris-flowtrackatVolcándeColima_ México,113
Igneous,Andesite,0.3,0.29,NA,NA,NA,NA,Fractured,LaLumbredebris-flowtrackatVolcándeColima_ México,113
Igneous,Andesite,NA,NA,0.2,NA,NA,NA,Fractured,Jeju Island _ Korea,412
Igneous,Andesite,NA,NA,124.9,NA,NA,NA,Fractured,Jeju Island _ Korea,412
Igneous,Andesite,NA,5,0.02,NA,NA,NA,Fractured,Valle Central_ northern Costa Rica,457
Igneous,Andesite,NA,0.25,0.5,NA,NA,NA,Fractured,Valle Central_ northern Costa Rica,457
Igneous,Andesite,0.2,NA,0.0432,2.50E-05,NA,NA,Fractured,The aquifer of the Puebla Valley_ México,461
Igneous,Andesite,0.18,NA,0.432,2.50E-07,NA,NA,NS,The aquifer of the Puebla Valley_ México,461
Igneous,Andesite,NA,NA,0.6912,NA,NA,NA,Fractured,The aquifer of the Puebla Valley_ México,461
Igneous,Andesite,0.16,NA,NA,NA,NA,NA,NS,Maya_ Cheliábinsk_ en Rusia,545
Igneous,Andesite,0.17,NA,NA,NA,NA,NA,NS,Maya_ Cheliábinsk_ en Rusia,545
Igneous,Andesite,NA,NA,NA,NA,0.0065,NA,NS,"Bishoftu
Group_Akaki catchment_ central Ethiopia",601
Igneous,Andesite,NA,NA,NA,NA,0.016,NA,NS,"Bishoftu
Group_Akaki catchment_ central Ethiopia",601
Igneous,Andesite,NA,NA,NA,NA,0.01,NA,Massive ,NS,663
Igneous,Andesite,NA,NA,NA,NA,0.26,NA,Massive and fractured,NS,663
Igneous,Andesite,3,NA,NA,NA,NA,3.20E-09,Fractured,Newberry Volcano formation_ Bend_ Oregon_ Estados Unidos,730
Igneous,Andesite,10,NA,NA,NA,NA,NA,Fractured,Newberry Volcano formation_ Bend_ Oregon_ Estados Unidos,730
Igneous,Andesite,10,NA,NA,NA,NA,NA,Fractured,NS,762
Igneous,Andesite,15,NA,NA,NA,NA,NA,Fractured,NS,762
Igneous,Andesite,NA,6.5,NA,NA,NA,NA,Fractured,Ni?de location_ Turkey,765
Igneous,Andesite,NA,0.33,NA,NA,NA,NA,NS,Ni?de location_ Turkey,765
Igneous,Andesite,NA,2.6,NA,NA,NA,NA,Fractured,Ardahan  location_ Turkey,766
Igneous,Andesite,NA,NA,NA,9.00E-04,NA,NA,Fractured,Xanthi – Komotini basin_ Greece,772
Igneous,Andesite,NA,NA,NA,0.002,NA,NA,NS,Xanthi – Komotini basin_ Greece,772
Igneous,Andesite,0.17,NA,0.02,NA,0.01,NA,NS,Tenancingo Valley aquifer_ México,839
Igneous,Andesite,2,NA,0.1,NA,0.07,NA,Fractured,"Chilean Altiplano of the Antofagasta
Region",812
Igneous,Andesite,2,NA,0.15,NA,0.07,NA,Fractured,"Chilean Altiplano of the Antofagasta
Region",812
Igneous,Basalt,0.1,0.1,NA,NA,0.4,1.00E-06,NS,NS,1_2_5_17
Igneous,Basalt,12,2,0.0345,NA,NA,1.00E-11,Fractured,Island of Maui aquifer_ Hawaii_,1_2_5
Igneous,Basalt,NA,NA,1,NA,NA,NA,Fractured,island of Maui aquifer _ Hawaii_,22
Igneous,Basalt,NA,NA,520,NA,NA,NA,Fractured,island of Maui aquifer _ Hawaii_,22
Igneous,Basalt,NA,NA,NA,NA,NA,NA,Fractured,NS,22
Igneous,Basalt,5,NA,0.0362,6.40E-06,0.073,NA,Fractured,NS,1_23
Igneous,Basalt,15,NA,25.92,NA,NA,NA,Fractured,NS,1_7
Igneous,Basalt,10,NA,0.000691,NA,NA,NA,Fractured,NS,1_7
Igneous,Basalt,NA,NA,8.64E-05,NA,NA,NA,Fracture_ filled with clays,NS,24
Igneous,Basalt,10,NA,8.64E-05,NA,NA,NA,fractured and weathered,NS,61
Igneous,Basalt,15,NA,NA,NA,NA,NA,fractured and weathered,NS,61
